Name,Latitude,Longitude,Bikes Available,Slots,Empty Slots,Banking,Ebikes
Saint-François-Xavier,48.851545,2.314615,22,42,20,True,5
Place Marcel Cachin,48.814114,2.390908,28,32,4,True,6
Pyramide - Ecole du Breuil ,48.82238,2.458687,4,34,30,False,2
Liège - Moscou,48.879543,2.326463,2,17,15,False,1
Mairie de Montreuil,48.861315,2.440614,7,52,44,True,6
Richard Lenoir - Republique,48.866718,2.369254,4,58,53,True,0
Fabre d'Eglantine - Place de la Nation,48.847112,2.39562,9,68,59,True,5
Cimetière de Montmartre,48.886472,2.33289,4,43,39,True,2
Bagnolet - Orteaux,48.857086,2.398413,17,36,18,True,12
Anatole France - President Roosevelt,48.915516,2.38141,21,29,6,True,10
Henry Farman,48.833724,2.271385,4,16,12,False,2
Jourdain - Place des Grandes Rigoles,48.874031,2.389595,2,22,19,True,2
Rocher - Laborde,48.875902,2.322616,4,65,60,True,1
Fontenay - Libération,48.847803,2.445142,19,25,6,False,6
Grands Moulins de Pantin,48.897384,2.395999,22,50,28,False,16
Gambetta - Saint Fargeau,48.871245,2.403906,6,24,17,False,6
Cimetière de Fontenay-sous-Bois,48.847062,2.478782,2,15,13,False,2
Gabriel Péri - Francisco Ferrer,48.886337,2.407339,11,18,5,False,8
Place de la Reine Astrid,48.864921,2.302549,12,54,40,True,1
Lucie Aubrac - Fort,48.818145,2.271185,2,30,28,True,2
Pajol - Place Herbert,48.892782,2.36356,28,39,11,True,17
Fédération - Suffren,48.852828,2.297878,5,25,19,True,1
Hôpital Européen Georges Pompidou ,48.837695,2.275374,24,64,36,False,3
Concorde - Stalingrad,48.798584,2.38213,22,35,11,True,8
Carducci - Place Hannah Arendt,48.877437,2.386074,4,27,23,False,3
Saint-Jacques - Val de Grâce,48.841751,2.341389,13,19,6,False,11
Manin - Carrières d'Amérique,48.884672,2.39197,4,20,16,False,1
Victor Hugo - Jeanne Jugan,48.843949,2.415081,6,28,20,False,4
Porte de Vanves,48.828013,2.305688,9,32,23,False,3
Place de la République - Voltaire,48.866831,2.365481,10,19,9,True,2
Conservatoire de Musique,48.770936,2.403401,25,25,0,False,5
Gare de l'Est - Fidélité,48.874575,2.356796,4,15,9,False,2
Championnet - Vauvenargues,48.894019,2.331987,13,33,19,True,6
Buisson Saint-Louis - Saint-Maur,48.871747,2.372253,1,19,18,False,0
Place Albert Kahn,48.895797,2.345586,0,0,0,True,0
Gare du Nord - Denain,48.879596,2.354473,2,20,17,True,2
